timestamp;Tag1;Tag2;Tag3;Tag4
2026-06-04 11:55:00.283415;34.0522;-118.2417;200.0;90.0
2026-06-04 11:55:01.327402;34.0522;-118.2397;200.0;90.0
2026-06-04 11:55:02.380673;34.0522;-118.2377;200.0;90.0
2026-06-04 11:55:03.438381;34.0522;-118.2357;200.0;90.0
2026-06-04 11:55:04.494124;34.0522;-118.2337;200.0;90.0
2026-06-04 11:55:05.562372;34.0522;-118.2317;200.0;90.0
2026-06-04 11:55:06.613676;34.0522;-118.2297;200.0;90.0
2026-06-04 11:55:07.666265;34.0522;-118.2277;200.0;90.0
2026-06-04 11:55:08.722498;34.0522;-118.2257;200.0;90.0
2026-06-04 11:55:09.775577;34.0522;-118.2237;200.0;90.0
2026-06-04 11:55:10.828805;34.0522;-118.2217;200.0;90.0
2026-06-04 11:55:11.876566;34.0522;-118.2197;200.0;90.0
2026-06-04 11:55:12.912986;34.0522;-118.2177;200.0;90.0
2026-06-04 11:55:13.97273;34.0522;-118.2157;200.0;90.0
2026-06-04 11:55:15.030573;34.0522;-118.2137;200.0;90.0
2026-06-04 11:55:16.081284;34.0322;-118.2137;2000.0;180.0
2026-06-04 11:55:17.126423;34.0122;-118.2137;2000.0;180.0
2026-06-04 11:55:18.18223;33.9922;-118.2137;2000.0;180.0
2026-06-04 11:55:19.251007;33.9722;-118.2137;2000.0;180.0
2026-06-04 11:55:20.327636;33.9522;-118.2137;2000.0;180.0
2026-06-04 11:55:21.396487;33.9522;-118.2337;2000.0;270.0
2026-06-04 11:55:22.456929;33.9522;-118.2537;2000.0;270.0
2026-06-04 11:55:23.498921;33.9522;-118.2737;2000.0;270.0
2026-06-04 11:55:24.540414;33.9522;-118.2937;2000.0;270.0
2026-06-04 11:55:25.599112;33.9522;-118.3137;2000.0;270.0
2026-06-04 11:55:26.648178;33.9722;-118.3137;2000.0;0.0
2026-06-04 11:55:27.70287;33.9922;-118.3137;2000.0;0.0
2026-06-04 11:55:28.764264;34.0122;-118.3137;2000.0;0.0
2026-06-04 11:55:29.815049;34.0322;-118.3137;2000.0;0.0
2026-06-04 11:55:30.882745;34.0522;-118.3137;2000.0;0.0
2026-06-04 11:55:31.945318;34.0522;-118.2937;2000.0;90.0
