115500,34.0522,-118.24170000000001
115501,34.0522,-118.23970000000001
115502,34.0522,-118.23770000000002
115503,34.0522,-118.23570000000002
115504,34.0522,-118.23370000000003
115505,34.0522,-118.23170000000003
115506,34.0522,-118.22970000000004
115507,34.0522,-118.22770000000004
115508,34.0522,-118.22570000000005
115509,34.0522,-118.22370000000005
115510,34.0522,-118.22170000000006
115511,34.0522,-118.21970000000006
115512,34.0522,-118.21770000000006
115513,34.0522,-118.21570000000007
115515,34.0522,-118.21370000000007
115516,34.032199999999996,-118.21370000000007
115517,34.01219999999999,-118.21370000000007
115518,33.99219999999999,-118.21370000000007
115519,33.97219999999999,-118.21370000000007
115520,33.95219999999998,-118.21370000000007
115521,33.95219999999998,-118.23370000000007
115522,33.95219999999998,-118.25370000000007
115523,33.95219999999998,-118.27370000000006
115524,33.95219999999998,-118.29370000000006
115525,33.95219999999998,-118.31370000000005
115526,33.97219999999999,-118.31370000000005
115527,33.99219999999999,-118.31370000000005
115528,34.01219999999999,-118.31370000000005
115529,34.032199999999996,-118.31370000000005
115530,34.0522,-118.31370000000005
115531,34.0522,-118.29370000000006
